profile,description,relative_path,exists_flag,size_bytes,sha256,governance_status,governance_reason
minimal_public,Repositorio público mínimo y revisable sin payload pesado.,data/samples/raw_consumos_energia_sample.csv,1,484488,685a14ebb1621678af3687c9c1fdf78e76cb81f9bff3059025b1ab03cab3b8e4,ALLOWED,allowed
minimal_public,Repositorio público mínimo y revisable sin payload pesado.,data/samples/raw_produccion_turno_sample.csv,1,183707,20ce90f8a9e099602a25eac31fbbaf35f4cc59a2195f0d17d32cbc75722da676,ALLOWED,allowed
minimal_public,Repositorio público mínimo y revisable sin payload pesado.,data/samples/processed_line_day_features_sample.csv,1,977319,8cf2095f84e185e1c705c42e14110278465e97f90651641385083e4fcd9c83ac,ALLOWED,allowed
minimal_public,Repositorio público mínimo y revisable sin payload pesado.,data/samples/processed_investment_prioritization_sample.csv,1,53125,52bd6017b85a75c392f578fff8684c6630ca4ca4b171b1134523e89963432401,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,README.md,1,9318,077a29e3f3005b14020cb1890a69c34c88bb880c941ce9b057f972cfe7d14803,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,requirements.txt,1,91,02a5e34d2658258da02e874c5861a4a16b272de9286f7843fcef87f1d745b06f,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,requirements.lock.txt,1,327,d63a00388e8fb55b80ac4b434d7539e3023d529768cec005f83cea2baaa1e60c,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,manifests/environment_fingerprint.json,1,767,b392db13124c339a766e01126750993a6332139fa93ed4d473dce9d915ad760c,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,manifests/build_manifest_latest.json,1,2603,561314a9b3a7c4c2f481461a0fb473d9f3b640171d97d51dfdd4b00a282fcab0,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,manifests/artifact_fingerprints_latest.csv,1,1142,a14650b2bbc0d50a23f54f7bd202bbbd3feb52d1794eda6b5a78b75c8b0ff008,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,data/processed/executive_kpi_snapshot.csv,1,826,0efcd6ca529593014c1f9148cf59bc0a2106c38589f62db2f649168a9f2842dc,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,data/processed/validation_readiness_summary.csv,1,499,971e6467008d99e607d5d70af211625cfa9b4b9cfeb398746d446e8cf10f0bd6,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,data/processed/cross_output_consistency.csv,1,1412,fb4885dbe2440aa4d060b72e8f52dd510a36b58d1d8db12812ee70c9c30fcb94,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,data/processed/score_stability_before_after.csv,1,1333,9aec4d54896c6396f1bcf1525c6c667205edfc7e342a09cb626f74b0df0e5a53,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,data/processed/portfolio_summary.csv,1,1130,722fa933827a7aaa097311f2b5176aca2e33fd60bf3a29daed94a74fbb5e966a,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,data/processed/sector_profile_registry.csv,1,241,542fc3e35bd458002342601a728b2492f00bd9d1d1897ca208c5fa06dae26092,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,data/processed/sector_mapping_coverage.csv,1,421,636587b9dcdc8494a16c306452449ac6c175725b4cf6892340aaa4e312973a9f,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,data/processed/dashboard_canonical_dataset.json,1,38666,171847df62633f2d17e539319fa1f22da79b6dd59082b5232d1c2884761ce226,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,outputs/dashboard/industrial-operating-command-center.html,1,283737,6396dabd142a78e797409ece7359a41d40c2fed4583d81fd8ceb928b71410870,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,outputs/reports/validation_report.md,1,22851,1bdd2de56f2ec02af509cf3fb18c85014e4b393b145cd6c4b80d78fac0870852,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,outputs/reports/advanced_analysis_report.md,1,4173,bc678ba4417921d60c9bcb60f92eee144ec9c7ac96f7b527fcdc2ef520338ea1,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,outputs/reports/sector_parameterization_evidence.md,1,2569,31afc98b800153bf12bc131c2478ec78e3479dc762a8442c6317ffee7bd6c15a,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,docs/testing/testing_strategy_enterprise.md,1,5253,3914299c4384cf320c0f836cb258c0a0bda8d0cb2fd6582f1c217ae4601c523a,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,docs/validation/validation_hardening_framework.md,1,2512,195d3a26eae17d0cfe06b01b023711aaf6e95aaf995ae52adab0ee74c971d00f,ALLOWED,allowed
github_reviewer,Pack para reviewer técnico en GitHub: outputs críticos + evidencia de consistencia.,docs/score_stability_framework.md,1,2400,240f46125784e8c71cc0fb562d1e3946239266632afa7bd5527c37e5a0aff2dd,ALLOWED,allowed
committee_pack,"Pack de comité industrial: snapshot ejecutivo, decisión, riesgos y validación.",committee_pack/README_BLOCKED.md,1,571,143dd96942f35b9dea946d980fcd450285aa517d3c777c3184d2f6535ca2264f,BLOCKED,"blocked_by_governance: readiness=screening-grade-only; publish_decision=publish with caveat; allowed_states=['committee-candidate', 'committee-grade']; allowed_publish=['publish']"
